product_id,title,reference_price,current_price,jd_url,image_url,specs,shop_name,comment_count,crawl_time
100187661752,七彩虹iGame GeForce RTX 5070 Ti Ultra W OC 16GB,7599.0,7599.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100187661752.html,https://2a.zol-img.com.cn/product/271_320x240/142/ceSSARvy3RipA.png,"产品型号	iGame GeForce RTX 5070 Ti Ultra W OC 16GB
芯片厂商	NVIDIA
显卡芯片	GeForce RTX 5070 Ti
显示芯片系列	NVIDIA RTX 50系列
核心频率	基础频率：2295-2452MHz
CUDA核心	8960个
显存频率	28000MHz
显存类型	GDDR7
显存容量	16GB
显存位宽	256bit
内存带宽	896GB/s
接口类型	PCI Express 5.0 16X
I/O接口	1×HDMI 2.1b接口，3×DisplayPort 2.1b接口
电源接口	16pin
显卡类型	发烧级
显卡设计	非公版",七彩虹京东自营旗舰店,2000.0,2025-04-25 14:36:07
10136926339207,NVIDIA GeForce RTX 4090 48GB涡轮,23999.0,2.4,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10136926339207.html,https://2b.zol-img.com.cn/product/271_320x240/483/ceZtjsoxrjZEQ.png,"芯片厂商	NVIDIA
显卡芯片	GeForce RTX 4090
显示芯片系列	NVIDIA RTX 40系列
制作工艺	5纳米
核心代号	AD102-300
核心频率	2235-2520MHz
CUDA核心	16384个
显存频率	21000MHz
显存类型	GDDR6X
显存容量	48GB
显存位宽	384bit
最大分辨率	7680×4320
接口类型	PCI Express 4.0 16X
I/O接口	1×HDMI接口，3×DisplayPort接口
显卡类型	发烧级
显卡设计	公版",AI服务器算力显卡小店,37.0,2025-04-27 19:16:03
10141977047855,NVIDIA GeForce RTX 4090 D 48G涡轮,19999.0,2.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10141977047855.html,https://2f.zol-img.com.cn/product/271_320x240/451/ce94MTa9kqIXk.jpg,"芯片厂商	NVIDIA
显卡芯片	GeForce RTX 4090 D
显示芯片系列	NVIDIA RTX 40系列
制作工艺	5纳米
核心代号	AD102-250
核心频率	2280-2520MHz
CUDA核心	14592个
显存类型	GDDR6X
显存容量	48GB
显存位宽	384bit
最大分辨率	7680×4320
接口类型	PCI Express 4.0 16X
I/O接口	1×HDMI 2.1接口，3×DisplayPort接口
电源接口	8pin+8pin+8pin
