标题,参考价,京东价,京东链接,产品图片,产品参数
噪音	20-30.5dB"
利民AK120 SE 标准,109,89.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100021425849.html,https://2d.zol-img.com.cn/product/221_320x240/99/ceNuIBblUnjNg.jpg,"散热器类型	CPU散热器
散热方式	风冷
适用范围	Intel：LGA 115X/1200/17XX AMD：AM4/AM35
发光方式	无光
产品尺寸	120*71*148mm
产品重量	640g
风扇数量	1个
风扇尺寸	120*120*25mm
轴承类型	S-FDB
最高转数	1500RPM
最大风量	66.17CFM
风压	1.53mmaq
噪音	≤25.6dB
端子接口	4-pin PWM
额定电压	DC 12V 0.2A"
利民FC140 纯黑版,419,332.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100028162440.html,https://2a.zol-img.com.cn/product/221_320x240/292/ce5QFKhXavPrw.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
发光方式	无光
产品尺寸	140*121*158mm
产品重量	1000g
风扇数量	2个
风扇尺寸	120*120*25mm
轴承类型	S-FDB Bearing
最高转数	1800RPM
最大风量	95.5CFM
风压	2..25mmaq
噪音	≤30.2dB
端子接口	4-pin PWM
额定电压	DC 12V 0.3A
热管数量	5个"
九州风神大霜塔,219,,,https://2a.zol-img.com.cn/product/92_320x240/440/ce6GBxf7Hv6.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel Socket LGA 2011/1366/115X/775
智能温控	支持智能温控
电源参数	12V,0.2A
输入功率	2.4-3W
产品尺寸	126x136x159mm
产品重量	1109g
风扇尺寸	120×120×26mm
轴承类型	液压轴承（Hydraulic Bearing）
转数描述	900±150至1500±10%RPM
最大风量	60.29CFM
噪音	21.4-32.1dB
热管数量	6个
热管材质	铜
包装清单	散热器本机 x1"
ID-COOLING FROSTFLOW X 240,289,,,https://2d.zol-img.com.cn/product/221_320x240/591/ceCbtY8UKCURU.jpg,"散热器类型	CPU散热器
散热方式	水冷
发光方式	单色光
风扇数量	2个
风扇尺寸	120*120*25mm
轴承类型	液压轴承
最高转数	1800RPM
转数描述	700*1800RPM
最大风量	76.16CFM
风压	2.16mmaq
噪音	15.2-35.2dB
额定功率	2.4W
水冷排类型	240mm冷排
冷头尺寸	直径72*47mm
转速	2100RPM
水冷管长度	400mm"
利民AXP90-X47,209,136.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100020112490.html,https://2e.zol-img.com.cn/product/221_320x240/560/ceLQrCMR895jc.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel：LGA 115X/1200 AMD：AM4/AM5
发光方式	无光
产品尺寸	94.5*95*32mm
产品重量	310g
风扇数量	1个
风扇尺寸	92*92*15mm
轴承类型	液压轴承
最高转数	2700RPM
最大风量	42.58CFM
风压	1.33mmaq
噪音	22.4dB
端子接口	4-pin PWM
热管数量	4个"
利民TL-C12,65,49.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100007240829.html,https://2f.zol-img.com.cn/product/222_320x240/583/cext1hYvRC1y.jpg,"散热器类型	风扇
散热方式	风冷
电源参数	12V，0.2A
风扇数量	1个
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	流体动态轴承（FDB）
转数描述	1500±10%RPM
最大风量	66.17CFM
风压	1.53mmaq
噪音	25.6dB
质保时间	6年"
利民TL-B12W,89,89.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100020112440.html,https://2d.zol-img.com.cn/product/262_320x240/277/ceC6ZQdYQZf4g.jpg,"散热器类型	机箱风扇
散热方式	风冷
智能温控	支持智能温控
电源参数	12V,0.16A
产品尺寸	120×120×25.6mm
产品重量	205g
风扇尺寸	120×120×25.6mm
扇叶数量	9叶
轴承类型	S-FDB Bearing V2轴承
最高转数	2150RPM
转数描述	2150±10%RPM
最大风量	69CFM
风压	2.87mmaq
噪音	28.1dB
端子接口	4 PIN"
利民TL-B12,89,89.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100061570726.html,https://2f.zol-img.com.cn/product/262_320x240/321/ce3klNUvLWYhA.jpg,"散热器类型	机箱风扇
散热方式	风冷
智能温控	支持智能温控
电源参数	12V,0.16A
产品尺寸	120×120×25.6mm
产品重量	205g
风扇尺寸	120×120×25.6mm
扇叶数量	9叶
轴承类型	S-FDB Bearing V2轴承
最高转数	2150RPM
转数描述	2150±10%RPM
最大风量	69CFM
风压	2.87mmaq
噪音	28.1dB
端子接口	4 PIN"
利民TL-B12 EXTREM,99,94.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10046465384883.html,https://2e.zol-img.com.cn/product/262_320x240/284/ce6zSotLQFu16.jpg,"散热器类型	机箱风扇
散热方式	风冷
智能温控	支持智能温控
电源参数	12V,0.35A
产品尺寸	120×120×25.6mm
产品重量	215g
风扇尺寸	120×120×25.6mm
扇叶数量	9叶
轴承类型	双滚珠轴承（Dual Ball Bearing）
最高转数	3150RPM
转数描述	3150±10%RPM
最大风量	112CFM
风压	5mmaq
噪音	40.5dB
端子接口	4 PIN"
利民TL-B12 EXTREM LCP,99,96.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10083951144916.html,https://2b.zol-img.com.cn/product/262_320x240/335/ce5oEG8SxQn1Q.jpg,"散热器类型	机箱风扇
散热方式	风冷
智能温控	支持智能温控
电源参数	12V,0.25A
产品尺寸	120×120×25.6mm
产品重量	205g
风扇尺寸	120×120×25.6mm
扇叶数量	9叶
轴承类型	双滚珠轴承（Dual Ball Bearing）
最高转数	2150RPM
转数描述	2150±10%RPM
最大风量	69CFM
风压	2.87mmaq
噪音	28.1dB
端子接口	4 PIN"
利民TL-B12W-S,99,,,https://2d.zol-img.com.cn/product/262_320x240/355/ce5NlYxXquR4I.jpg,"散热器类型	机箱风扇
散热方式	风冷
发光方式	ARGB
智能温控	支持智能温控
电源参数	12V,0.16A
产品尺寸	120×120×25.6mm
产品重量	205g
风扇尺寸	120×120×25.6mm
扇叶数量	9叶
轴承类型	S-FDB Bearing V2轴承
最高转数	2150RPM
转数描述	2150±10%RPM
最大风量	69CFM
风压	2.87mmaq
噪音	28.1dB
端子接口	4 PIN"
利民TL-B12RW-S,99,89.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100064695129.html,https://2c.zol-img.com.cn/product/262_320x240/342/cexUphTUm5VU.jpg,"散热器类型	机箱风扇
散热方式	风冷
发光方式	ARGB
智能温控	支持智能温控
电源参数	12V,0.16A
产品尺寸	120×120×25.6mm
产品重量	205g
其它特点	反转
风扇尺寸	120×120×25.6mm
扇叶数量	9叶
轴承类型	S-FDB Bearing V2轴承
最高转数	2150RPM
转数描述	2150±10%RPM
最大风量	69CFM
风压	2.87mmaq
噪音	28.1dB"
利民TL-B12-S,99,,,https://2c.zol-img.com.cn/product/262_320x240/354/ceficRLmYdvcY.jpg,"散热器类型	机箱风扇
散热方式	风冷
发光方式	ARGB
智能温控	支持智能温控
电源参数	12V,0.16A
产品尺寸	120×120×25.6mm
产品重量	205g
风扇尺寸	120×120×25.6mm
扇叶数量	9叶
轴承类型	S-FDB Bearing V2轴承
最高转数	2150RPM
转数描述	2150±10%RPM
最大风量	69CFM
风压	2.87mmaq
噪音	28.1dB
端子接口	4 PIN"
利民TL-B12R-S,99,89.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100064695127.html,https://2c.zol-img.com.cn/product/262_320x240/378/ceOoEf2DeMr.jpg,"散热器类型	机箱风扇
散热方式	风冷
发光方式	ARGB
智能温控	支持智能温控
电源参数	12V,0.16A
产品尺寸	120×120×25.6mm
产品重量	205g
其它特点	反转
风扇尺寸	120×120×25.6mm
扇叶数量	9叶
轴承类型	S-FDB Bearing V2轴承
最高转数	2150RPM
转数描述	2150±10%RPM
最大风量	69CFM
风压	2.87mmaq
噪音	28.1dB"
利民AQUA ELITE 240 ARGB,319,224.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10054652023347.html,https://2e.zol-img.com.cn/product/229_320x240/408/ceIoqK6xkcQk.jpg,"散热器类型	一体式水冷散热器
散热方式	水冷
适用范围	Intel：LGA 115X/1200/2011/2066/1700 AMD：AM5/AM4/AM3/FM1/FM2
发光方式	RGB
产品尺寸	277×120×27mm
风扇数量	2个
风扇尺寸	120×120×25mm
转数描述	10%±1550RPM
最大风量	66.17CFM
风压	1.53mmaq
噪音	30dB
端子接口	风扇接口：4 pin PWM
水冷排类型	240mm冷排
冷头尺寸	72*72*48mm
转速	10%±2600RPM"
利民AQUA ELITE 360 BLACK ARGB,399,246.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100031537712.html,https://2a.zol-img.com.cn/product/229_320x240/410/ceKe6et7zF7r.png,"散热器类型	CPU散热器
散热方式	水冷
发光方式	ARGB
智能温控	支持智能温控
电源参数	12V
产品尺寸	冷排：397*120*27mm
风扇数量	3个
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	S-FDB
最高转数	1550RPM
转数描述	1550±10%RPM
最大风量	66.17CFM
风压	1.53mmaq
噪音	25.6dB
端子接口	风扇接口：4 pin PWM"
利民AQUA ELITE 120 V3,175,209.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10087975547462.html,https://2b.zol-img.com.cn/product/262_320x240/1/ceeisk1IEwOCQ.jpg,"散热器类型	CPU散热器
散热方式	水冷
发光方式	ARGB
智能温控	支持智能温控
电源参数	12V
产品尺寸	冷排：157*120*27mm
风扇数量	1个
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	S-FDB Bearing
最高转数	1500RPM
转数描述	1500±10%RPM
最大风量	66.17CFM
风压	1.53mmaq
噪音	25.6dB
端子接口	风扇接口：4 pin PWM"
利民AQUA ELITE 240 BLACK V2 ARGB,269,269.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10073150282989.html,https://2c.zol-img.com.cn/product/262_320x240/984/ceX4CZUqsFZcU.jpg,"散热器类型	CPU散热器
散热方式	水冷
发光方式	ARGB
智能温控	支持智能温控
电源参数	12V
产品尺寸	冷排：277*120*27mm
风扇数量	2个
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	S-FDB
最高转数	2000RPM
转数描述	2000±10%RPM
最大风量	68.9CFM
风压	2.21mmaq
噪音	28.2dB
端子接口	风扇接口：4 pin PWM"
利民AQUA ELITE 240 WHITE V2 ARGB,264,269.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10073150282988.html,https://2e.zol-img.com.cn/product/262_320x240/4/cet07PDqLXMQ.png,"散热器类型	CPU散热器
散热方式	水冷
发光方式	ARGB
智能温控	支持智能温控
电源参数	12V
产品尺寸	冷排：277*120*27mm
风扇数量	2个
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	S-FDB
最高转数	2000RPM
转数描述	2000±10%RPM
最大风量	68.9CFM
风压	2.21mmaq
噪音	28.2dB
端子接口	风扇接口：4 pin PWM"
利民AQUA ELITE 240 BLACK V3,259,234.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10080724071633.html,https://2f.zol-img.com.cn/product/262_320x240/11/ce43r8EWf3yTI.jpg,"散热器类型	CPU散热器
散热方式	水冷
发光方式	ARGB
智能温控	支持智能温控
电源参数	12V
产品尺寸	冷排：276*120*27mm
风扇数量	2个
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	S-FDB Bearing
最高转数	1500RPM
转数描述	1500±10%RPM
最大风量	66.17CFM
风压	1.53mmaq
噪音	25.6dB
端子接口	风扇接口：4 pin PWM"
利民AQUA ELITE 240 WHITE V3,269,253.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10082676348343.html,https://2a.zol-img.com.cn/product/262_320x240/18/cegp3ooYLkoWY.jpg,"散热器类型	CPU散热器
散热方式	水冷
发光方式	ARGB
智能温控	支持智能温控
电源参数	12V
产品尺寸	冷排：276*120*27mm
风扇数量	2个
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	S-FDB Bearing
最高转数	1500RPM
转数描述	1500±10%RPM
最大风量	66.17CFM
风压	1.53mmaq
噪音	25.6dB
端子接口	风扇接口：4 pin PWM"
利民AQUA ELITE 360 WHITE ARGB,309,,,https://2c.zol-img.com.cn/product/262_320x240/8/ce9SnLphMis.png,"散热器类型	CPU散热器
散热方式	水冷
发光方式	ARGB
智能温控	支持智能温控
电源参数	12V
产品尺寸	冷排：397*120*27mm
风扇数量	3个
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	S-FDB
最高转数	1550RPM
转数描述	1550±10%RPM
最大风量	66.17CFM
风压	1.53mmaq
噪音	25.6dB
端子接口	风扇接口：4 pin PWM"
利民AQUA ELITE 360 BLACK V2 ARGB,399,,,https://2b.zol-img.com.cn/product/262_320x240/25/ceBDHzAkEWVh2.png,"散热器类型	CPU散热器
散热方式	水冷
发光方式	ARGB
智能温控	支持智能温控
电源参数	12V
产品尺寸	冷排：397*120*27mm
风扇数量	3个
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	S-FDB
最高转数	2000RPM
转数描述	2000±10%RPM
最大风量	68.9CFM
风压	2.21mmaq
噪音	28.2dB
端子接口	风扇接口：4 pin PWM"
利民AQUA ELITE 360 BLACK V3,313,299.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10080724071634.html,https://2c.zol-img.com.cn/product/262_320x240/20/ceD9NXqB52EOk.jpg,"散热器类型	CPU散热器
散热方式	水冷
发光方式	ARGB
智能温控	支持智能温控
电源参数	12V
产品尺寸	冷排：397*120*27mm
风扇数量	3个
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	S-FDB Bearing
最高转数	1500RPM
转数描述	1500±10%RPM
最大风量	66.17CFM
风压	1.53mmaq
噪音	25.6dB
端子接口	风扇接口：4 pin PWM"
利民AQUA ELITE 360 WHITE V3,313,319.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10082676348344.html,https://2b.zol-img.com.cn/product/262_320x240/13/ceEaLPasZcn3Q.jpg,"散热器类型	CPU散热器
散热方式	水冷
发光方式	ARGB
智能温控	支持智能温控
电源参数	12V
产品尺寸	冷排：397*120*27mm
风扇数量	3个
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	S-FDB Bearing
最高转数	1500RPM
转数描述	1500±10%RPM
最大风量	66.17CFM
风压	1.53mmaq
噪音	25.6dB
端子接口	风扇接口：4 pin PWM"
利民Frozen Magic 240,399,249.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100009167289.html,https://2f.zol-img.com.cn/product/222_320x240/885/ceQluE48SqkUQ.png,"散热器类型	CPU散热器
散热方式	水冷
适用范围	Intel，AMD
发光方式	RGB
电源参数	12V
使用寿命	40000小时
产品尺寸	277×120×27mm
风扇数量	2个
风扇尺寸	120×120×25mm
轴承类型	流体动态轴承（FDB）
转数描述	1500±10%RPM
最大风量	66.17CFM
风压	1.5mmaq
噪音	25.6dB
水冷排类型	240mm冷排
水冷头	72×72×52.5mm"
超频三东海X3,79,,,https://2b.zol-img.com.cn/product/222_320x240/657/cehXZwtECIcc.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	支持Intel LGA 775/115X及AMD AM2/AM2+/AM3/FM1/FM2
产品尺寸	124.5x84x154mm
产品重量	484g
风扇尺寸	120×120×25mm
轴承类型	液压轴承（Hydraulic Bearing）
转数描述	1500±10%RPM
最大风量	54.5CFM
噪音	29±10%dB
热管数量	3个
包装清单	散热器本机 x1
保修政策	全国联保，享受三包服务
质保时间	3年
质保备注	1个月包换，3年质保
客服电话	0755-8931-2233"
ProArtist Basic3,89,64.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10042116109368.html,https://2f.zol-img.com.cn/product/221_320x240/17/ce3qRFbjf0m9M.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel LGA 1200/115X
发光方式	RGB
电源参数	12V,0.23A±10％
输入功率	2.76W
产品尺寸	120×48×153mm
产品重量	475g
其它特点	炫彩流光
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	MHDB
最高转数	1500RPM
转数描述	±10％RPM
最大风量	72CFM
风压	1.8mmaq"
酷睿冰尊A9（无调速）,34,34.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/4264336.html,https://2d.zol-img.com.cn/product/198_320x240/909/cef3jhTrp0fFM.jpg,"散热器类型	笔记本散热器
散热方式	风冷
适用尺寸	适用于17寸及以下笔记本
USB接口	双USB口，共2个
电源参数	5V
产品尺寸	353×255×25mm
产品重量	910g
其它特点	多角度调节
风扇数量	6个
风扇尺寸	60×60×15mm
转数描述	1400±15%RPM
最大风量	70CFM
噪音	21-23dB
包装清单	散热器本机 x1"
利民TL-AS120,109,79.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100004036677.html,https://2f.zol-img.com.cn/product/221_320x240/155/cexZn4nO1DrU.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel：115X/2066/2011
智能温控	支持智能温控
电源参数	12V，0.2A
产品尺寸	120×102×154mm
风扇数量	1个
风扇尺寸	120×120×25mm
转数描述	1500±10%RPM
最大风量	66.17CFM
噪音	25.6dB
散热片材质	铝
包装清单	散热器主体（带螺母压扣） x1"
爱国者冰魄彩虹V1,20,16.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100004445117.html,https://2d.zol-img.com.cn/product/221_320x240/949/ce6tySHrlCV4Q.jpg,"散热器类型	风扇
散热方式	风冷
发光方式	RGB
使用寿命	40000小时
产品尺寸	散热器尺寸：120×20×120mm
其它特点	彩虹LED
风扇尺寸	120×120×25mm
扇叶数量	15叶
轴承类型	含油轴承（Sleeve Bearing）
最高转数	1200RPM
最大风量	39.86CFM
风压	0.65mmaq
噪音	19dB
其它参数	双扇叶涡轮增压技术
包装清单	散热器本机 x1
保修政策	店铺三包，质保一年"
ID-COOLING XF-12025-SD-K,20,,,https://2d.zol-img.com.cn/product/222_320x240/851/cedjblc9I8ug.jpg,"散热器类型	风扇
散热方式	风冷
发光方式	无光
电源参数	12V，0.25A
输入功率	3W
产品尺寸	120×120×25mm
风扇数量	1个
风扇尺寸	120×120×25mm
轴承类型	液压轴承（Hydraulic Bearing）
转数描述	700-1800RPM
最大风量	74.5CFM
风压	2.15mmaq
噪音	18-35.2dB
包装清单	散热器 x1"
九州风神冰凌MINI旗舰版,40,28.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/302653.html,https://2e.zol-img.com.cn/product/53_320x240/428/ceCENdeayuZSg.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel LGA115x/775
电源参数	12V，0.12A
输入功率	1.44W
产品尺寸	127x62x129.5mm
产品重量	248g
风扇尺寸	80×80×25mm
轴承类型	液压轴承（Hydraulic Bearing）
转数描述	2200±10%RPM
最大风量	28CFM
噪音	25dB
热管数量	2个
包装清单	散热器本机 x1
保修政策	全国联保，享受三包服务
质保时间	1年"
九州风神玄冰400V5,109,69.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10054806414250.html,https://2a.zol-img.com.cn/product/221_320x240/288/cephFocGWbdno.jpg,"散热器类型	CPU散热器
散热方式	风冷
适用范围	AMD4/5，Intel 12代 LGA1700
发光方式	RGB
产品尺寸	125*92*150mm
产品重量	614g
风扇数量	1个
风扇尺寸	120*120*25mm
轴承类型	Hydro Bearing
最高转数	500RPM
最大风量	75.89CFM
风压	2.53mmaq
噪音	≤31.6dB
端子接口	4-pin PWM
额定电压	DC 12V，0.17A
额定功率	2.04W"
利民AX120R,109,99.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100013482405.html,https://2b.zol-img.com.cn/product/221_320x240/377/cea0Yppk9rjIA.jpg,"散热器类型	CPU散热器
散热方式	风冷
适用范围	Intel：LGA 115X/1200 AMD：AM4/AM5
发光方式	无光
主体材质	金属
产品尺寸	120*71*148mm
产品重量	645g
风扇数量	1个
风扇尺寸	120*120*25mm
轴承类型	S-FDB
最高转数	1500RPM
最大风量	66.17CFM
风压	1.53mmaq
噪音	≤25.6dB
端子接口	4-pin PWM
热管数量	4个"
利民TL-AS120 Plus,169,94.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100006880794.html,https://2c.zol-img.com.cn/product/222_320x240/32/ceKSUvm5WBgA.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel：115X/2066/2011
智能温控	支持智能温控
电源参数	12V，0.2A
产品尺寸	120×102×154mm
风扇数量	2个
风扇尺寸	120×120×25mm
转数描述	1500±10%RPM
最大风量	66.17CFM
噪音	25.6dB
散热片材质	铝
包装清单	散热器主体（带螺母压扣） x1"
利民TR-m.2 2280 pro,44,39.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10101433163508.html,https://2f.zol-img.com.cn/product/263_320x240/777/cee7fnNdCtXY.jpg,"产品型号	TR-m.2 2280 pro
散热器类型	固态硬盘散热器
散热方式	空冷
发光方式	无光
主体材质	铝合金
产品尺寸	75×22.7×11.7mm"
先马冰晶1S,9,12.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100020112366.html,https://2e.zol-img.com.cn/product/263_320x240/390/ce8DE2g7NH2FI.jpg,"产品型号	SF800
散热器类型	风扇
散热方式	风冷
发光方式	RGB
风扇数量	1个
风扇尺寸	120*120*25mm
轴承类型	液压轴承（Hydraulic Bearing）
最高转数	1200RPM
最大风量	44.2CFM
风压	0.71mmaq
噪音	20.9dB
